GEOID,State,County,Pop_total,Male_total,Female_total,MED_AGE,MED_AGE_M,MED_AGE_F,%TOTAL_18_19,%TOTAL_20_24,%TOTAL_25_29,%TOTAL_30_34,%TOTAL_35_39,%TOTAL_40_44,%TOTAL_45_49,%TOTAL_50_54,%TOTAL_55_59,%TOTAL_60_64,%TOTAL_65_69,%TOTAL_70_74,%TOTAL_75_79,%TOTAL_80_84,%TOTAL_85+,%MALE_18_19,%MALE_20_24,%MALE_25_29,%MALE_30_34,%MALE_35_39,%MALE_40_44,%MALE_45_49,%MALE_50_54,%MALE_55_59,%MALE_60_64,%MALE_65_69,%MALE_70_74,%MALE_75_79,%MALE_80_84,%MALE_85+,%FEMALE_18_19,%FEMALE_20_24,%FEMALE_25_29,%FEMALE_30_34,%FEMALE_35_39,%FEMALE_40_44,%FEMALE_45_49,%FEMALE_50_54,%FEMALE_55_59,%FEMALE_60_64,%FEMALE_65_69,%FEMALE_70_74,%FEMALE_75_79,%FEMALE_80_84,%FEMALE_85+,%RACE_Latino,%RACE_White,%RACE_Black,%RACE_Native,%RACE_Asian,%RACE_HI_PI,%RACE_Other,%RACE_Mixed,%REL_OP_SEX_MAR,%REL_S_SEX_MAR,%REL_OP_SEX_UNMAR,%REL_S_SEX_UNMAR,%REL_W_RELATIVES,%REL_NON_REL,%REL_MALE_JAILED,%REL_FEMALE_JAILED,%REL_MALE_GRP_DORM,%REL_FEMALE_GRP_DORM,%HH_MARRIED,%HH_MAR_W_KIDS,%HH_NOT_MAR,%HH_NOT_MAR_W_KIDS,%HH_MALE_ALONE,%HH_MALE_65+,%HH_MALE_W_KIDS,%HH_FEMALE_ALONE,%HH_FEMALE_65+,%HH_FEMALE_W_KIDS,%OWN_HOME,%RENT_HOME,Pop_Urban,Pop_Rural,%Urban_pop,TOTAL_VOTES,DEM_VOTES,DEM_SHARE,REP_VOTES,REP_SHARE,THRD_VOTES,THRD_SHARE,PARTY_WIN,PARTY_LEAD, 
1001,Alabama,Autauga County,58805,28390,30415,38.9,37.9,40.0,2.61,5.5,6.0,6.4,6.6,6.5,6.6,6.5,7.1,6.2,5.1,4.1,3.1,1.9,1.6,2.75,5.6,6.1,6.3,6.7,6.4,6.6,6.7,7.1,6.0,5.1,3.6,2.7,1.6,1.1,2.47,5.4,6.0,6.4,6.6,6.5,6.6,6.4,7.0,6.3,5.1,4.6,3.4,2.1,2.0,3.6,70.7,19.3,0.3,1.5,0.0,0.3,4.2,19.7,0.1,1.8,0.1,3.7,2.0,0.3,0.4,0.1,0.1,52.0,20.5,4.7,2.0,11.1,3.1,1.7,13.3,6.9,6.0,73.8,26.2,34885,23920,59.32,27857,7503,26.93,19838,71.21,516,1.85,0,-0.44,
1003,Alabama,Baldwin County,231767,112627,119140,44.0,42.6,45.3,2.34,5.0,5.0,5.6,6.0,5.9,6.2,6.4,7.1,7.3,7.0,6.2,4.2,2.5,2.0,2.44,5.1,5.1,5.6,6.0,6.0,6.3,6.4,6.9,6.9,6.7,6.1,4.1,2.3,1.6,2.24,4.8,5.0,5.6,5.9,5.9,6.1,6.4,7.3,7.7,7.3,6.4,4.2,2.7,2.4,5.5,80.5,7.8,0.6,0.9,0.1,0.3,4.5,21.1,0.1,2.1,0.1,3.4,2.2,0.7,0.5,0.2,0.2,52.8,17.3,5.4,1.7,11.2,4.1,1.4,14.8,8.4,4.4,74.3,25.7,144654,87113,62.41,110012,24578,22.34,83544,75.94,1890,1.72,0,-0.54,
1005,Alabama,Barbour County,25223,13167,12056,42.9,41.3,45.0,2.39,5.1,5.9,6.6,6.5,6.2,6.1,6.5,7.3,7.0,6.6,5.8,3.7,2.1,2.0,2.38,5.3,6.6,7.3,7.3,7.3,6.4,6.7,7.2,7.0,6.1,5.0,3.2,1.8,1.3,2.4,4.9,5.1,5.8,5.6,4.9,5.9,6.4,7.3,7.1,7.3,6.7,4.3,2.5,2.6,6.0,44.0,47.0,0.2,0.4,0.0,0.2,2.2,14.2,0.1,1.7,0.1,3.7,1.8,10.2,0.4,0.1,0.0,37.1,10.4,4.5,1.7,15.1,5.3,1.2,18.2,10.4,9.6,64.0,36.0,8596,16627,34.08,10560,4816,45.61,5622,53.24,122,1.16,0,-0.08,
1007,Alabama,Bibb County,22293,11798,10495,40.5,39.8,41.7,2.19,5.9,6.5,6.3,6.9,7.0,7.1,6.8,7.3,6.4,5.2,4.4,2.9,2.0,1.6,2.14,6.1,7.1,6.7,7.7,7.8,7.6,7.0,7.5,6.1,5.0,4.0,2.4,1.6,0.8,2.25,5.7,5.9,5.9,6.0,6.1,6.5,6.7,7.0,6.7,5.4,5.0,3.5,2.6,2.4,3.3,73.8,19.7,0.2,0.1,0.0,0.2,2.7,17.1,0.1,1.8,0.1,4.1,2.1,8.6,0.8,0.1,0.1,48.4,17.4,5.4,2.2,13.4,4.4,1.4,13.6,7.4,5.4,74.8,25.2,0,22293,0.0,9630,1986,20.62,7525,78.14,119,1.24,0,-0.58,
1009,Alabama,Blount County,59134,29197,29937,41.1,40.1,42.1,2.65,5.7,5.6,5.5,5.9,6.0,6.7,6.7,6.9,6.5,5.9,5.2,3.7,2.2,1.8,2.79,6.0,5.6,5.6,5.9,5.9,7.0,6.6,7.1,6.5,5.8,4.8,3.3,1.9,1.3,2.5,5.5,5.5,5.5,5.9,6.1,6.4,6.7,6.7,6.5,6.0,5.5,4.0,2.4,2.3,9.8,84.2,1.4,0.3,0.3,0.0,0.2,3.9,21.2,0.1,1.5,0.1,4.1,2.1,0.2,0.5,0.2,0.2,56.2,20.4,4.1,1.6,11.4,3.9,1.6,12.4,7.6,3.6,80.9,19.1,5624,53510,9.51,27663,2640,9.54,24711,89.33,312,1.13,0,-0.8,
1011,Alabama,Bullock County,10357,5628,4729,42.0,41.0,43.9,1.82,5.0,6.2,7.3,7.2,7.5,6.4,6.1,7.6,7.6,6.5,4.8,3.2,1.9,1.6,1.62,5.2,6.7,8.4,8.0,8.5,7.6,6.8,7.2,7.1,6.1,4.1,2.5,1.4,0.7,2.07,4.8,5.5,6.1,6.2,6.4,5.1,5.4,8.0,8.1,7.0,5.6,4.0,2.4,2.7,4.9,22.0,71.3,0.0,0.1,0.1,0.3,1.3,9.9,0.1,1.5,0.0,3.9,1.6,15.7,0.5,0.2,0.0,26.7,6.8,4.2,2.3,18.3,6.2,1.1,21.3,10.5,11.0,67.2,32.8,0,10357,0.0,4633,3446,74.38,1146,24.74,41,0.88,1,0.5,
1013,Alabama,Butler County,19051,8971,10080,43.5,41.3,45.3,2.5,5.4,4.8,5.3,5.9,6.0,5.9,6.3,7.1,7.5,7.1,5.3,3.8,2.5,2.7,2.85,5.5,4.8,4.8,5.6,5.8,5.9,6.3,7.1,7.3,6.8,5.2,3.4,2.1,1.8,2.19,5.4,4.8,5.8,6.1,6.2,5.9,6.2,7.2,7.7,7.4,5.4,4.1,2.9,3.5,1.4,50.8,44.0,0.1,0.8,0.0,0.2,2.7,15.7,0.1,1.9,0.1,4.5,1.5,0.6,0.7,0.1,0.1,36.7,10.6,4.3,1.8,14.6,5.7,1.1,19.5,10.7,8.7,64.4,35.6,5823,13228,30.57,9527,3965,41.62,5458,57.29,104,1.09,0,-0.16,
1015,Alabama,Calhoun County,116441,55787,60654,40.0,38.7,41.1,4.0,7.8,6.0,5.6,5.8,5.9,5.9,6.2,6.8,6.8,6.0,5.0,3.3,2.1,2.0,4.05,7.9,6.2,5.6,5.7,5.8,6.0,6.2,6.8,6.8,5.9,4.8,3.0,1.8,1.3,3.95,7.7,5.9,5.7,5.9,6.0,5.8,6.1,6.7,6.9,6.2,5.2,3.5,2.4,2.7,4.3,68.3,21.8,0.3,1.0,0.1,0.3,3.9,16.9,0.1,2.3,0.1,3.8,2.6,0.6,1.1,1.5,1.5,42.6,13.6,6.1,2.3,14.0,4.4,1.6,16.4,8.6,6.2,68.4,31.6,73947,42494,63.51,51145,15216,29.75,35101,68.63,828,1.62,0,-0.39,
1017,Alabama,Chambers County,34772,16902,17870,43.3,41.4,45.1,2.84,6.2,6.2,5.6,5.4,5.6,6.4,6.7,7.1,7.4,6.7,5.7,3.8,2.3,2.1,3.6,6.8,6.2,5.6,5.1,5.6,6.4,7.0,7.1,7.2,6.6,5.3,3.3,2.0,1.3,2.13,5.6,6.2,5.5,5.6,5.6,6.4,6.5,7.1,7.5,6.9,6.0,4.3,2.6,2.9,3.6,53.5,38.7,0.2,1.1,0.0,0.3,2.6,15.9,0.1,2.3,0.1,4.7,2.6,0.7,0.8,0.9,0.1,39.2,10.6,5.8,2.2,14.7,5.0,1.4,15.1,8.5,7.0,66.1,33.9,17127,17645,49.26,15332,6365,41.51,8753,57.09,214,1.4,0,-0.16,
1019,Alabama,Cherokee County,24971,12327,12644,47.7,46.7,48.5,2.32,5.3,5.0,4.9,4.7,5.3,6.5,6.8,8.0,8.4,7.5,6.8,4.5,2.7,2.0,2.33,5.5,5.2,5.0,4.5,5.5,6.5,7.0,7.8,8.4,7.5,6.8,4.3,2.6,1.2,2.31,5.1,4.7,4.8,4.9,5.2,6.5,6.7,8.2,8.4,7.5,6.9,4.8,2.7,2.7,1.6,90.4,4.0,0.4,0.2,0.0,0.2,3.2,21.3,0.1,2.1,0.1,3.5,2.1,0.6,0.6,0.0,0.0,51.3,14.2,5.3,1.9,13.7,5.7,1.4,14.5,8.9,3.5,79.2,20.8,0,24971,0.0,12346,1624,13.15,10583,85.72,139,1.13,0,-0.73,
